,REGION,MONTH,PATIENT COUNT,POSITIVE COUNT,PERCENT POSITIVE
496,Rhode Island,May,0.0,0.0,
497,Rhode Island,June,0.0,0.0,
498,Rhode Island,July,0.0,0.0,
499,Rhode Island,August,0.0,0.0,
500,Rhode Island,September,0.0,0.0,
501,Rhode Island,October,0.0,0.0,
502,Rhode Island,November,0.0,0.0,
503,Rhode Island,December,0.0,0.0,
504,South Carolina,January,133191.0,4737.0,3.556546613509922
505,South Carolina,February,131288.0,3716.0,2.8304186216562064
506,South Carolina,March,182943.0,4031.0,2.2034185511334132
507,South Carolina,April,142303.0,2698.0,1.8959544071453167
508,South Carolina,May,140521.0,2368.0,1.6851573786124494
509,South Carolina,June,173971.0,2323.0,1.3352800179340236
510,South Carolina,July,137786.0,1365.0,0.9906666860203504
511,South Carolina,August,164016.0,2721.0,1.6589844893181154
512,South Carolina,September,134353.0,2870.0,2.1361636881945323
513,South Carolina,October,135063.0,3567.0,2.640989760334066
514,South Carolina,November,167331.0,9966.0,5.955859942270111
515,South Carolina,December,122668.0,16785.0,13.683275181791501
516,South Dakota,January,33020.0,428.0,1.2961841308298
517,South Dakota,February,32788.0,364.0,1.1101622544833476
518,South Dakota,March,43963.0,384.0,0.8734617746741579
519,South Dakota,April,35047.0,288.0,0.8217536451051446
520,South Dakota,May,34579.0,235.0,0.679603227392348
521,South Dakota,June,40499.0,229.0,0.565446060396553
522,South Dakota,July,33334.0,132.0,0.3959920801583968
523,South Dakota,August,44071.0,144.0,0.3267454788863425
524,South Dakota,September,34091.0,213.0,0.6247983338711097
525,South Dakota,October,33451.0,253.0,0.756330154554423
526,South Dakota,November,39957.0,325.0,0.8133743774557649
527,South Dakota,December,32773.0,598.0,1.824672748909163
528,Tennessee,January,137626.0,4211.0,3.0597416185895105
529,Tennessee,February,136968.0,3321.0,2.4246539337655513
530,Tennessee,March,174714.0,3617.0,2.0702405073434296
531,Tennessee,April,141596.0,2661.0,1.8792903754343344
532,Tennessee,May,143549.0,2674.0,1.8627785634173697
533,Tennessee,June,102075.0,1309.0,1.2823903992162626
534,Tennessee,July,101358.0,923.0,0.9106335957694509
535,Tennessee,August,148643.0,2666.0,1.7935590643353538
536,Tennessee,September,145873.0,2795.0,1.9160502628999199
537,Tennessee,October,138156.0,2982.0,2.1584296013202464
538,Tennessee,November,178841.0,6804.0,3.8044967317337743
539,Tennessee,December,146473.0,13894.0,9.485707263454698
540,Texas,January,264905.0,11028.0,4.16300183084502
541,Texas,February,240119.0,7573.0,3.1538528812796987
542,Texas,March,319470.0,8129.0,2.544526872632798
543,Texas,April,260107.0,6454.0,2.481286547459315
544,Texas,May,206542.0,5335.0,2.583009751043371
545,Texas,June,260888.0,4196.0,1.6083530097206464
546,Texas,July,204655.0,2853.0,1.3940534069531652
547,Texas,August,266411.0,6128.0,2.300205321852326
548,Texas,September,217644.0,6024.0,2.767822682913381
549,Texas,October,229929.0,8419.0,3.661565091832696
550,Texas,November,284396.0,17901.0,6.294392326193055
551,Texas,December,235148.0,23252.0,9.888240597410993
552,Utah,January,0.0,0.0,
553,Utah,February,0.0,0.0,
554,Utah,March,0.0,0.0,
555,Utah,April,0.0,0.0,
556,Utah,May,0.0,0.0,
557,Utah,June,0.0,0.0,
558,Utah,July,0.0,0.0,
559,Utah,August,0.0,0.0,
560,Utah,September,0.0,0.0,
561,Utah,October,0.0,0.0,
562,Utah,November,0.0,0.0,
563,Utah,December,0.0,0.0,
564,Vermont,January,25680.0,475.0,1.849688473520249
565,Vermont,February,24574.0,207.0,0.8423537071701799
566,Vermont,March,29765.0,222.0,0.7458424323870317
567,Vermont,April,23547.0,127.0,0.5393468382384168
568,Vermont,May,23416.0,104.0,0.4441407584557568
569,Vermont,June,29820.0,112.0,0.3755868544600939
570,Vermont,July,21487.0,86.0,0.40024200679480615
571,Vermont,August,26859.0,84.0,0.3127443315089914
572,Vermont,September,21984.0,109.0,0.49581513828238716
573,Vermont,October,26576.0,190.0,0.7149307645996388
574,Vermont,November,31593.0,399.0,1.262937992593296
575,Vermont,December,23794.0,509.0,2.139194754980247
576,Virgin Islands,January,0.0,0.0,
577,Virgin Islands,February,0.0,0.0,
578,Virgin Islands,March,0.0,0.0,
579,Virgin Islands,April,0.0,0.0,
580,Virgin Islands,May,0.0,0.0,
581,Virgin Islands,June,0.0,0.0,
582,Virgin Islands,July,0.0,0.0,
583,Virgin Islands,August,0.0,0.0,
584,Virgin Islands,September,0.0,0.0,
585,Virgin Islands,October,0.0,0.0,
586,Virgin Islands,November,0.0,0.0,
587,Virgin Islands,December,0.0,0.0,
588,Virginia,January,437983.0,15694.0,3.583244098515239
589,Virginia,February,443586.0,13751.0,3.099962577718864
590,Virginia,March,554442.0,15704.0,2.832397257062055
591,Virginia,April,433761.0,9767.0,2.2517008214200906
592,Virginia,May,448449.0,9854.0,2.1973513153112174
593,Virginia,June,547235.0,9339.0,1.7065794402770291
594,Virginia,July,433033.0,5324.0,1.2294675001674238
595,Virginia,August,559276.0,8908.0,1.59277351432924
596,Virginia,September,468702.0,11119.0,2.372296256469996
597,Virginia,October,468741.0,13414.0,2.8617082781322734
598,Virginia,November,533273.0,19468.0,3.650662981249754
599,Virginia,December,511632.0,32272.0,6.307658629640053
600,Washington,January,192642.0,3847.0,1.9969684700117316
601,Washington,February,189182.0,2625.0,1.387552727003626
